Current Loan Amount,Credit Score,Annual Income,Monthly Income,Monthly Debt,Debt / Income Ratio,Credit History(Years),Months Delinquent,Open Accounts,Credit Problems,Credit Balance,Total Credit,Credit Usage Ratio,Bankruptcies
611314,747.0,2074116.0,172843.0,42000.83,0.24299989007365067,21.8,0.0,9,0,621908,1058970,0.5872763156652219,0.0
266662,734.0,1919190.0,159932.5,36624.4,0.228999108999109,19.4,0.0,11,0,679573,904442,0.7513726695575835,0.0
153494,709.0,871112.0,72592.67,8391.73,0.11560023897729618,12.5,10.0,10,0,38532,388036,0.09930006494242802,0.0
176242,727.0,780083.0,65006.92,16771.87,0.2580013020152316,16.5,27.0,16,1,156940,531322,0.2953764383932907,1.0
321992,744.0,1761148.0,146762.33,39478.77,0.26899797788710494,26.0,44.0,14,0,359765,468072,0.7686103847271359,0.0
202928,741.0,760380.0,63365.0,6526.69,0.1030014992503748,13.8,0.0,6,0,258647,476872,0.5423824422486537,0.0
621786,733.0,1783606.0,148633.83,36563.98,0.24600038900968915,15.3,0.0,42,0,281599,1449162,0.19431850959382044,0.0
266794,0.0,0.0,0.0,12336.89,0.0,5.8,0.0,9,0,233206,342232,0.6814266345636878,0.0
202466,736.0,1068617.0,89051.42,18745.21,0.21049872085139124,20.5,0.0,2,0,0,0,0.0,0.0
266288,683.0,2031518.0,169293.17,12443.1,0.07350030718900237,24.4,56.0,8,2,31445,251130,0.12521403257277108,1.0
121110,0.0,0.0,0.0,10749.44,0.0,19.2,52.0,4,0,102087,198330,0.5147330207230374,0.0
258104,723.0,1284514.0,107042.83,6368.99,0.059499454564121666,14.6,64.0,12,0,128402,266904,0.4810793393879447,0.0
161722,680.0,504374.0,42031.17,6094.63,0.14500262543250642,9.5,0.0,13,0,167903,388828,0.4318181818181818,0.0
753016,0.0,0.0,0.0,9627.49,0.0,21.7,21.0,9,0,384522,657646,0.5846945012970504,0.0
444664,0.0,0.0,0.0,22817.86,0.0,17.9,8.0,25,0,318953,971872,0.3281841641697672,0.0
172282,696.0,669560.0,55796.67,17966.78,0.32200452105833555,18.2,0.0,16,0,431490,999262,0.43180867480200386,0.0
275440,729.0,1236976.0,103081.33,21647.08,0.21000000679075445,35.8,0.0,13,0,151088,264242,0.5717788996450224,0.0
218834,742.0,1077262.0,89771.83,19390.64,0.21599916142959322,24.5,29.0,37,0,212800,502876,0.4231659494587135,0.0
99999999,715.0,442339.0,36861.58,14007.18,0.37999402087485123,17.0,25.0,14,0,65474,284966,0.22976074338693037,0.0
99999999,715.0,694526.0,57877.17,4358.22,0.07530119389044075,17.3,47.0,5,0,137332,272734,0.5035382460565972,0.0
346610,744.0,2245116.0,187093.0,24134.94,0.12899969533868183,17.6,68.0,14,0,729695,1307922,0.557904064615474,0.0
99999999,747.0,1394676.0,116223.0,5834.33,0.050199444171979725,31.9,0.0,7,0,164350,569778,0.2884456753331999,0.0
219648,722.0,682898.0,56908.17,18893.79,0.3320048773313217,15.5,0.0,8,0,347396,553300,0.6278619193927345,0.0
334620,740.0,963300.0,80275.0,16536.65,0.20600000000000002,16.4,55.0,17,0,330581,843128,0.3920887457183251,0.0
219868,736.0,683582.0,56965.17,9057.49,0.15900049100178232,9.6,0.0,8,0,121467,215380,0.5639660135574334,0.0
222816,708.0,990185.0,82515.42,6031.93,0.07310063985616265,17.5,0.0,8,1,125020,343860,0.3635782004304077,1.0
108416,0.0,0.0,0.0,41882.46,0.0,20.4,0.0,11,0,827051,1003816,0.823906970998669,0.0
108152,705.0,747156.0,62263.0,20235.38,0.32499847421422035,19.9,15.0,14,0,174344,348062,0.5008992650734639,0.0
174724,0.0,0.0,0.0,11341.29,0.0,8.2,0.0,4,0,85633,126632,0.6762350748625939,0.0
404008,0.0,0.0,0.0,42159.86,0.0,15.9,0.0,16,0,684950,1054636,0.6494657872479225,0.0
360228,740.0,2138906.0,178242.17,27984.15,0.15700072547366317,15.5,18.0,8,0,164008,225280,0.7280184659090909,0.0
218724,0.0,0.0,0.0,4967.36,0.0,11.0,6.0,7,0,16511,108064,0.15278908794788273,0.0
441012,738.0,979716.0,81643.0,12899.67,0.1580009308820107,27.3,0.0,11,0,380228,608938,0.6244116806637129,0.0
337370,717.0,1146004.0,95500.33,14802.33,0.1549976843011956,21.0,32.0,9,0,256139,423104,0.6053807101800031,0.0
765688,706.0,5951484.0,495957.0,61498.63,0.12399992338045435,22.4,0.0,13,0,549100,1464980,0.37481740365056176,0.0
468908,6470.0,1833842.0,152820.17,5898.93,0.038600467464471475,14.4,0.0,19,1,183863,809490,0.22713436855303956,1.0
219428,712.0,1301671.0,108472.58,22237.03,0.20500139297876016,15.6,0.0,9,0,458679,624096,0.7349494308567912,0.0
574904,706.0,1306592.0,108882.67,8078.99,0.07419904379640947,14.0,0.0,4,0,1596,306196,0.005212347646605442,0.0
401192,704.0,1539912.0,128326.0,27500.41,0.21430115487118745,22.0,0.0,18,0,423092,769054,0.5501460235562132,0.0
257444,736.0,648508.0,54042.33,5944.53,0.10999766294310404,17.5,46.0,10,0,204516,621566,0.32903344134009904,0.0
309694,0.0,0.0,0.0,23473.17,0.0,26.0,38.0,10,0,402059,650188,0.6183734550622282,0.0
214258,0.0,0.0,0.0,7207.46,0.0,12.8,69.0,10,1,209361,338580,0.6183501683501683,0.0
325754,0.0,0.0,0.0,14301.3,0.0,25.0,13.0,11,0,165186,466532,0.35407217511338984,0.0
651354,0.0,0.0,0.0,32314.25,0.0,19.1,37.0,21,0,356687,1868768,0.19086745920306855,0.0
